Variable,SHR %,
Target,Total Individuals,
Activity,Live + As Live,
Channel\Date group,(r) 01/07/2020 - 29/07/2020,
PINK,25.90%,
RTS 1,20.30%,
PRVA,14.10%,
Happy - Happy K,8.10%,
B92,5.50%,
Nickelodeon,4.10%,
N1,3.90%,
SUPERSTAR TV,3.00%,
Fox,3.00%,
RTS 2,3.00%,
"Fox	",3.00%,
"RTS 2	",3.00%,
